RecommendationId,AccountCode,AccountName,Industry,CurrentProducts,Recommendation,Confidence,Why,Methods,NumMethods,AvgWonRevenue,AvgWonGp,CurrentWonGp
XSL-00011,001EQ9KG8FAPOW57K9,Northgate Manufacturing Co.,Energy & Utilities,Digital Workplace / Product,Add Networking / Product,High,77% of other Energy & Utilities accounts (n=13) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,850.0
XSL-00012,001G19FIL6QKLVNF3P,Westfall Logistics Corp.,Media & Entertainment,"Digital Workplace / Product, Security / Technical Services",Add Networking / Product,High,80% of other Media & Entertainment accounts (n=10) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,1936.0
XSL-00013,001GTA60Q43EBJAUTT,Pinehurst Telecom Group,Energy & Utilities,Digital Workplace / Product,Add Networking / Product,High,77% of other Energy & Utilities accounts (n=13) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,776.0
XSL-00014,001HOCLQ8DU637G29L,Clearwater Networks Co.,Telecommunications,Data Center / VBR,Add Networking / Product,High,78% of other Telecommunications accounts (n=9) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,661.0
XSL-00015,001OS0KNCNUWKCUXDS,Crestwood Telecom Group,Retail & Consumer Goods,Security / VBR,Add Networking / Product,High,84% of other Retail & Consumer Goods accounts (n=19) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,111.0
XSL-00016,001S6QZ5QK9IBU9D43,Meridian Manufacturing Inc.,Insurance,Networking / SDIS,Add Networking / Product,High,79% of other Insurance accounts (n=14) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,4124.0
XSL-00017,001TFVL8UZDYDNIAVI,Meridian Solutions Corp.,Energy & Utilities,Networking / SDIS,Add Networking / Product,High,77% of other Energy & Utilities accounts (n=13) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,1022.0
XSL-00018,001UGY5LGMJV5VELYL,Silverline Telecom Co.,Retail & Consumer Goods,Digital Workplace / Product,Add Networking / Product,High,84% of other Retail & Consumer Goods accounts (n=19) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,476.0
XSL-00019,001Y6G01E5ZMRR783X,Oakridge Energy Partners Co.,Retail & Consumer Goods,Networking / SDIS,Add Networking / Product,High,84% of other Retail & Consumer Goods accounts (n=19) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,914.0
XSL-00020,001ZN00OO6UFZVS06L,Clearwater Financial Group LLC,Insurance,Networking / VBR,Add Networking / Product,High,79% of other Insurance accounts (n=14) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,222.0
XSL-00021,001ZSNSASABTS9S93M,Novara Logistics Corp.,Insurance,"Digital Workplace / Product, Networking / SDIS",Add Networking / Product,High,79% of other Insurance accounts (n=14) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,359.0
XSL-00022,0013U4C2JMB8X9UFMP,Harborview Industries Inc.,Financial Services,"Data Center / Technical Services, Networking / Product, Networking / Technical Services, Security / Product",Add Security / Technical Services,High,"Accounts with Data Center / Technical Services go on to also have Security / Technical Services 50% of the time -- 7.5x more often than chance, based on 5 accounts.",Market Basket Rule,1,6165.0,1463.0,20550.0
XSL-00023,00149F330NQ4F37YMU,Millbrook Insurance Group Co.,Retail & Consumer Goods,"Data Center / Technical Services, Networking / Product",Add Security / Technical Services,High,"Accounts with Data Center / Technical Services go on to also have Security / Technical Services 50% of the time -- 7.5x more often than chance, based on 5 accounts.",Market Basket Rule,1,6165.0,1463.0,6906.0
XSL-00024,0014G7V85UNEDO3SRI,Everline Technologies Ltd.,Retail & Consumer Goods,"Data Center / Product, Data Center / Technical Services, Digital Workplace / Product, Digital Workplace / Technical Services, Networking / Consulting Services, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR",Add Security / Technical Services,High,"Accounts with Data Center / Technical Services go on to also have Security / Technical Services 50% of the time -- 7.5x more often than chance, based on 5 accounts.",Market Basket Rule,1,6165.0,1463.0,70876.0
XSL-00025,001GPVSY2O3L9S0524,Beacon Logistics LLC,Financial Services,"Data Center / Technical Services, Networking / Product, Networking / Technical Services, Networking / VBR",Add Security / Technical Services,High,"Accounts with Data Center / Technical Services go on to also have Security / Technical Services 50% of the time -- 7.5x more often than chance, based on 5 accounts.",Market Basket Rule,1,6165.0,1463.0,34891.0
XSL-00026,0013U4C2JMB8X9UFMP,Harborview Industries Inc.,Financial Services,"Data Center / Technical Services, Networking / Product, Networking / Technical Services, Security / Product",Add Digital Workplace / Technical Services,High,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / Technical Services 50% of the time -- 6.1x more often than chance, based on 5 accounts.",Market Basket Rule,1,6573.0,1176.0,20550.0
XSL-00027,00149F330NQ4F37YMU,Millbrook Insurance Group Co.,Retail & Consumer Goods,"Data Center / Technical Services, Networking / Product",Add Digital Workplace / Technical Services,High,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / Technical Services 50% of the time -- 6.1x more often than chance, based on 5 accounts.",Market Basket Rule,1,6573.0,1176.0,6906.0
XSL-00028,0014W8252OCV19YUUE,Cascade Consumer Goods Corp.,Technology,"Data Center / Technical Services, Digital Workplace / Product, Networking / Product, Networking / SDIS, Networking / Technical Services, Security / Product, Security / Technical Services",Add Digital Workplace / Technical Services,High,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / Technical Services 50% of the time -- 6.1x more often than chance, based on 5 accounts.",Market Basket Rule,1,6573.0,1176.0,19303.0
XSL-00029,001GPVSY2O3L9S0524,Beacon Logistics LLC,Financial Services,"Data Center / Technical Services, Networking / Product, Networking / Technical Services, Networking / VBR",Add Digital Workplace / Technical Services,High,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / Technical Services 50% of the time -- 6.1x more often than chance, based on 5 accounts.",Market Basket Rule,1,6573.0,1176.0,34891.0
XSL-00030,001LA0TQ6LU0VHY0EF,"Monroe, Metropolitan Water District",Public Sector,"Data Center / Product, Data Center / Technical Services, Digital Workplace / Product, Digital Workplace / Technical Services, Digital Workplace / VBR, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / Technical Services, Security / VBR",Add Security / SDIS,High,"2 of this account's closest-matching peers by product mix (avg similarity 69%) already have Security / SDIS, e.g. ""Redstone Manufacturing Inc."", ""Brightpath Solutions Inc."".",Similar Account,1,2634.0,489.0,114850.0
XSL-00031,001V8SQDYB439KFK2H,Stonebridge Data Systems Inc.,Transportation & Logistics,"Data Center / Product, Data Center / Technical Services, Data Center / VBR, Digital Workplace / Product, Digital Workplace / VBR, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / Technical Services, Security / VBR",Add Security / SDIS,High,"2 of this account's closest-matching peers by product mix (avg similarity 69%) already have Security / SDIS, e.g. ""Redstone Manufacturing Inc."", ""Brightpath Solutions Inc."".",Similar Account,1,2634.0,489.0,142864.0
XSL-00032,001LA0TQ6LU0VHY0EF,"Monroe, Metropolitan Water District",Public Sector,"Data Center / Product, Data Center / Technical Services, Digital Workplace / Product, Digital Workplace / Technical Services, Digital Workplace / VBR, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / Technical Services, Security / VBR",Add Digital Workplace / Consulting Services,High,"2 of this account's closest-matching peers by product mix (avg similarity 68%) already have Digital Workplace / Consulting Services, e.g. ""Brightpath Solutions Inc."", ""Cobalt Holdings Co."".",Similar Account,1,1809.0,370.0,114850.0
XSL-00033,001V8SQDYB439KFK2H,Stonebridge Data Systems Inc.,Transportation & Logistics,"Data Center / Product, Data Center / Technical Services, Data Center / VBR, Digital Workplace / Product, Digital Workplace / VBR, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / Technical Services, Security / VBR",Add Digital Workplace / Consulting Services,High,"2 of this account's closest-matching peers by product mix (avg similarity 68%) already have Digital Workplace / Consulting Services, e.g. ""Brightpath Solutions Inc."", ""Cobalt Holdings Co."".",Similar Account,1,1809.0,370.0,142864.0
XSL-00034,001SAEQ8IKIMZLX68U,Redstone Manufacturing Inc.,Healthcare,"Data Center / Product, Digital Workplace / Product, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / SDIS, Security / Technical Services, Security / VBR",Add Digital Workplace / VBR,High,"2 of this account's closest-matching peers by product mix (avg similarity 69%) already have Digital Workplace / VBR, e.g. ""Monroe, Metropolitan Water District"", ""Stonebridge Data Systems Inc."".",Similar Account,1,292.0,124.0,74043.0
XSL-00035,001LA0TQ6LU0VHY0EF,"Monroe, Metropolitan Water District",Public Sector,"Data Center / Product, Data Center / Technical Services, Digital Workplace / Product, Digital Workplace / Technical Services, Digital Workplace / VBR, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / Technical Services, Security / VBR",Add Data Center / SDIS,Medium,"3 of this account's closest-matching peers by product mix (avg similarity 67%) already have Data Center / SDIS, e.g. ""Brightpath Solutions Inc."", ""Cobalt Holdings Co."", ""Westfall Financial Group Co."".",Similar Account,1,24766.0,3645.0,114850.0
XSL-00036,0012VJ1Q6VT7RNN51F,Pinehurst Industries Group,Financial Services,"Digital Workplace / Product, Security / Product",Add Networking / Product,Medium,72% of other Financial Services accounts (n=25) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,1331.0
XSL-00037,0017PQW24AXDK3J2QI,Summit Consumer Goods LLC,Technology,"Data Center / Product, Security / Product, Security / Technical Services",Add Networking / Product,Medium,61% of other Technology accounts (n=18) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,4035.0
XSL-00038,0018ETPGWLGXGYFP3I,Granite Media Group Co.,Financial Services,Security / VBR,Add Networking / Product,Medium,72% of other Financial Services accounts (n=25) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,109.0
XSL-00039,001B1KZGF239YQHKXM,Meridian Health Systems LLC,Technology,Networking / VBR,Add Networking / Product,Medium,61% of other Technology accounts (n=18) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,115.0
XSL-00040,001DZ4OX9LI9KRPSJY,Brightpath Solutions Ltd.,Technology,"Data Center / Product, Networking / Technical Services",Add Networking / Product,Medium,61% of other Technology accounts (n=18) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,19985.0
XSL-00041,001HEIU8FBT9T7XBP1,Bluepeak Retail Group Co.,Financial Services,"Digital Workplace / Product, Networking / Consulting Services",Add Networking / Product,Medium,72% of other Financial Services accounts (n=25) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,876.0
XSL-00042,001KE5NXP1WGG5SJFE,Highfield Enterprises LLC,Technology,Data Center / Product,Add Networking / Product,Medium,61% of other Technology accounts (n=18) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,8921.0
XSL-00043,001KOVB9D9BSPUP6A9,Millbrook Enterprises Co.,Manufacturing,"Networking / VBR, Security / Product",Add Networking / Product,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / Product, e.g. ""Ashford Technologies Corp."", ""Sonoma, Regional Transit Authority"".",Similar Account,1,19813.0,2752.0,1559.0
XSL-00044,001LDUEXTXR2XOAJEA,Meridian Technologies Group,Education,"Digital Workplace / Product, Networking / VBR",Add Networking / Product,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / Product, e.g. ""Northgate Logistics Inc."", ""Vertex Logistics LLC"".",Similar Account,1,19813.0,2752.0,1788.0
XSL-00045,001NAYZ1JL73BY3UXA,"Jefferson, Public Health Department",Public Sector,"Networking / VBR, Security / Product",Add Networking / Product,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / Product, e.g. ""Ashford Technologies Corp."", ""Sonoma, Regional Transit Authority"".",Similar Account,1,19813.0,2752.0,1425.0
XSL-00046,001P6PUCG4MPVCSMFP,Ironclad Transport Co Group,Technology,Networking / VBR,Add Networking / Product,Medium,61% of other Technology accounts (n=18) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,244.0
XSL-00047,001R6IX3P8QQ5W52ZI,"Clark, Public Health Department",Public Sector,"Networking / Technical Services, Networking / VBR",Add Networking / Product,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / Product, e.g. ""Granite Insurance Group Group"", ""Kingsley Logistics Co."".",Similar Account,1,19813.0,2752.0,9321.0
XSL-00048,001TGH7JDQAM4JZRMX,Alpine Technologies LLC,Financial Services,"Networking / Consulting Services, Networking / SDIS, Networking / VBR, Security / SDIS",Add Networking / Product,Medium,72% of other Financial Services accounts (n=25) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,1510.0
XSL-00049,001UFNL3LE0PDYH53N,Summit Financial Group Inc.,Financial Services,Networking / VBR,Add Networking / Product,Medium,72% of other Financial Services accounts (n=25) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,305.0
XSL-00050,001Z8MRNBNJRF048DE,Riverbend Technologies LLC,Technology,Digital Workplace / Product,Add Networking / Product,Medium,61% of other Technology accounts (n=18) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,1113.0
XSL-00051,001ZUBAO6BCYQIHXSW,Granite Transport Co Co.,Financial Services,Digital Workplace / VBR,Add Networking / Product,Medium,72% of other Financial Services accounts (n=25) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,77.0
XSL-00052,001LA0TQ6LU0VHY0EF,"Monroe, Metropolitan Water District",Public Sector,"Data Center / Product, Data Center / Technical Services, Digital Workplace / Product, Digital Workplace / Technical Services, Digital Workplace / VBR, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / Technical Services, Security / VBR",Add Networking / Consulting Services,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / Consulting Services, e.g. ""Cobalt Holdings Co."", ""Westfall Financial Group Co."".",Similar Account,1,8273.0,2227.0,114850.0
XSL-00053,001V8SQDYB439KFK2H,Stonebridge Data Systems Inc.,Transportation & Logistics,"Data Center / Product, Data Center / Technical Services, Data Center / VBR, Digital Workplace / Product, Digital Workplace / VBR, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / Technical Services, Security / VBR",Add Networking / Consulting Services,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / Consulting Services, e.g. ""Westfall Financial Group Co."", ""Cobalt Holdings Co."".",Similar Account,1,8273.0,2227.0,142864.0
XSL-00054,0013U4C2JMB8X9UFMP,Harborview Industries Inc.,Financial Services,"Data Center / Technical Services, Networking / Product, Networking / Technical Services, Security / Product",Add Data Center / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Data Center / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts.",Market Basket Rule,1,651.0,260.0,20550.0
XSL-00055,00149F330NQ4F37YMU,Millbrook Insurance Group Co.,Retail & Consumer Goods,"Data Center / Technical Services, Networking / Product",Add Data Center / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Data Center / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts.",Market Basket Rule,1,651.0,260.0,6906.0
XSL-00056,0014G7V85UNEDO3SRI,Everline Technologies Ltd.,Retail & Consumer Goods,"Data Center / Product, Data Center / Technical Services, Digital Workplace / Product, Digital Workplace / Technical Services, Networking / Consulting Services, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR",Add Data Center / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Data Center / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts.",Market Basket Rule,1,651.0,260.0,70876.0
XSL-00057,0014W8252OCV19YUUE,Cascade Consumer Goods Corp.,Technology,"Data Center / Technical Services, Digital Workplace / Product, Networking / Product, Networking / SDIS, Networking / Technical Services, Security / Product, Security / Technical Services",Add Data Center / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Data Center / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts.",Market Basket Rule,1,651.0,260.0,19303.0
XSL-00058,001GPVSY2O3L9S0524,Beacon Logistics LLC,Financial Services,"Data Center / Technical Services, Networking / Product, Networking / Technical Services, Networking / VBR",Add Data Center / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Data Center / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts.",Market Basket Rule,1,651.0,260.0,34891.0
XSL-00059,001BAC2JQQ2MANK01D,Cascade Data Systems Group,Insurance,"Networking / Product, Security / Product",Add Networking / VBR,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / VBR, e.g. ""Sonoma, Regional Transit Authority"", ""Ashford Technologies Corp."".",Similar Account,1,576.0,244.0,4896.0
XSL-00060,001Q6IXAF94IE39GXK,Ashford Networks Group,Media & Entertainment,"Digital Workplace / Product, Networking / Product",Add Networking / VBR,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / VBR, e.g. ""Vertex Logistics LLC"", ""Northgate Logistics Inc."".",Similar Account,1,576.0,244.0,11154.0
XSL-00061,001QMHSXJ1WF7BXPX1,Ashford Financial Group Ltd.,Financial Services,"Networking / Product, Security / VBR",Add Networking / VBR,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / VBR, e.g. ""Kingston, County Of"", ""Harborview Media Group Group"".",Similar Account,1,576.0,244.0,9370.0
XSL-00062,001T5QAICSNEYGM9CI,Millbrook Health Systems Group,Healthcare,"Digital Workplace / Product, Networking / Product",Add Networking / VBR,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / VBR, e.g. ""Vertex Logistics LLC"", ""Northgate Logistics Inc."".",Similar Account,1,576.0,244.0,3649.0
XSL-00063,001TR1BDOR2VF9Q89B,Brightpath Logistics Ltd.,Manufacturing,"Digital Workplace / Product, Networking / Product",Add Networking / VBR,Medium,"2 of this account's closest-matching peers by product mix (avg similarity 67%) already have Networking / VBR, e.g. ""Vertex Logistics LLC"", ""Northgate Logistics Inc."".",Similar Account,1,576.0,244.0,2699.0
XSL-00064,0013U4C2JMB8X9UFMP,Harborview Industries Inc.,Financial Services,"Data Center / Technical Services, Networking / Product, Networking / Technical Services, Security / Product",Add Security / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Security / VBR 40% of the time -- 6.5x more often than chance, based on 4 accounts.",Market Basket Rule,1,270.0,128.0,20550.0
XSL-00065,00149F330NQ4F37YMU,Millbrook Insurance Group Co.,Retail & Consumer Goods,"Data Center / Technical Services, Networking / Product",Add Security / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Security / VBR 40% of the time -- 6.5x more often than chance, based on 4 accounts.",Market Basket Rule,1,270.0,128.0,6906.0
XSL-00066,0014G7V85UNEDO3SRI,Everline Technologies Ltd.,Retail & Consumer Goods,"Data Center / Product, Data Center / Technical Services, Digital Workplace / Product, Digital Workplace / Technical Services, Networking / Consulting Services, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR",Add Security / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Security / VBR 40% of the time -- 6.5x more often than chance, based on 4 accounts.",Market Basket Rule,1,270.0,128.0,70876.0
XSL-00067,0014W8252OCV19YUUE,Cascade Consumer Goods Corp.,Technology,"Data Center / Technical Services, Digital Workplace / Product, Networking / Product, Networking / SDIS, Networking / Technical Services, Security / Product, Security / Technical Services",Add Security / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Security / VBR 40% of the time -- 6.5x more often than chance, based on 4 accounts.",Market Basket Rule,1,270.0,128.0,19303.0
XSL-00068,001GPVSY2O3L9S0524,Beacon Logistics LLC,Financial Services,"Data Center / Technical Services, Networking / Product, Networking / Technical Services, Networking / VBR",Add Security / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Security / VBR 40% of the time -- 6.5x more often than chance, based on 4 accounts.",Market Basket Rule,1,270.0,128.0,34891.0
XSL-00069,0013U4C2JMB8X9UFMP,Harborview Industries Inc.,Financial Services,"Data Center / Technical Services, Networking / Product, Networking / Technical Services, Security / Product",Add Digital Workplace / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts.",Market Basket Rule,1,292.0,124.0,20550.0
XSL-00070,00149F330NQ4F37YMU,Millbrook Insurance Group Co.,Retail & Consumer Goods,"Data Center / Technical Services, Networking / Product",Add Digital Workplace / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts.",Market Basket Rule,1,292.0,124.0,6906.0
XSL-00071,0014G7V85UNEDO3SRI,Everline Technologies Ltd.,Retail & Consumer Goods,"Data Center / Product, Data Center / Technical Services, Digital Workplace / Product, Digital Workplace / Technical Services, Networking / Consulting Services, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR",Add Digital Workplace / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts.",Market Basket Rule,1,292.0,124.0,70876.0
XSL-00072,0014W8252OCV19YUUE,Cascade Consumer Goods Corp.,Technology,"Data Center / Technical Services, Digital Workplace / Product, Networking / Product, Networking / SDIS, Networking / Technical Services, Security / Product, Security / Technical Services",Add Digital Workplace / VBR,Medium,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts.",Market Basket Rule,1,292.0,124.0,19303.0
